案	區	時間	同意票數	不同意票數	有效票數	無效票數	投票數	投票權人數	投票率(%)	有效同意票數對投票權人數百分比(%)	已送	應送
7	臺東縣長濱鄉	2018-11-25T06:27:45+08:00	1686	496	2182	409	2591	6484	39.96%	26%	11	11
7	臺東縣長濱鄉	2018-11-24T22:18:09+08:00	1053	266	1319	188	1507	4241	35.53%	24.83%	8	11
7	臺東縣長濱鄉	2018-11-24T22:28:29+08:00	1344	371	1715	291	2006	5154	38.92%	26.08%	9	11
7	臺東縣長濱鄉	2018-11-25T00:56:01+08:00	1686	496	2182	409	2591	6484	39.96%	26%	11	11
7	臺東縣長濱鄉	2018-11-24T23:58:30+08:00	1686	496	2182	409	2591	6484	39.96%	26%	11	11
7	臺東縣長濱鄉	2018-11-24T22:35:35+08:00	1344	371	1715	291	2006	5154	38.92%	26.08%	9	11
7	臺東縣長濱鄉	2018-11-24T23:50:02+08:00	1686	496	2182	409	2591	6484	39.96%	26%	11	11
7	臺東縣長濱鄉	2018-11-25T01:24:12+08:00	1686	496	2182	409	2591	6484	39.96%	26%	11	11
7	臺東縣長濱鄉	2018-11-24T23:37:39+08:00	1492	413	1905	351	2256	5759	39.17%	25.91%	10	11
7	臺東縣長濱鄉	2018-11-25T01:05:46+08:00	1686	496	2182	409	2591	6484	39.96%	26%	11	11
7	臺東縣長濱鄉	2018-11-25T00:03:21+08:00	1686	496	2182	409	2591	6484	39.96%	26%	11	11
7	臺東縣長濱鄉	2018-11-24T23:29:36+08:00	1492	413	1905	351	2256	5759	39.17%	25.91%	10	11
7	臺東縣長濱鄉	2018-11-25T00:21:33+08:00	1686	496	2182	409	2591	6484	39.96%	26%	11	11
7	臺東縣長濱鄉	2018-11-24T22:21:34+08:00	1053	266	1319	188	1507	4241	35.53%	24.83%	8	11
7	臺東縣長濱鄉	2018-11-25T06:12:27+08:00	1686	496	2182	409	2591	6484	39.96%	26%	11	11
7	臺東縣長濱鄉	2018-11-25T03:48:18+08:00	1686	496	2182	409	2591	6484	39.96%	26%	11	11
7	臺東縣長濱鄉	2018-11-24T23:25:57+08:00	1492	413	1905	351	2256	5759	39.17%	25.91%	10	11
7	臺東縣長濱鄉	2018-11-25T03:42:34+08:00	1686	496	2182	409	2591	6484	39.96%	26%	11	11
7	臺東縣長濱鄉	2018-11-24T22:11:53+08:00	1053	266	1319	188	1507	4241	35.53%	24.83%	8	11
7	臺東縣長濱鄉	2018-11-25T03:30:45+08:00	1686	496	2182	409	2591	6484	39.96%	26%	11	11
7	臺東縣長濱鄉	2018-11-25T06:07:12+08:00	1686	496	2182	409	2591	6484	39.96%	26%	11	11
7	臺東縣長濱鄉	2018-11-25T04:01:18+08:00	1686	496	2182	409	2591	6484	39.96%	26%	11	11
7	臺東縣長濱鄉	2018-11-24T22:38:59+08:00	1492	413	1905	351	2256	5759	39.17%	25.91%	10	11
7	臺東縣長濱鄉	2018-11-24T22:40:10+08:00	1492	413	1905	351	2256	5759	39.17%	25.91%	10	11
7	臺東縣長濱鄉	2018-11-24T23:33:40+08:00	1492	413	1905	351	2256	5759	39.17%	25.91%	10	11
7	臺東縣長濱鄉	2018-11-24T23:14:28+08:00	1492	413	1905	351	2256	5759	39.17%	25.91%	10	11
7	臺東縣長濱鄉	2018-11-25T06:17:25+08:00	1686	496	2182	409	2591	6484	39.96%	26%	11	11
7	臺東縣長濱鄉	2018-11-24T23:45:53+08:00	1686	496	2182	409	2591	6484	39.96%	26%	11	11
7	臺東縣長濱鄉	2018-11-24T23:41:52+08:00	1686	496	2182	409	2591	6484	39.96%	26%	11	11
7	臺東縣長濱鄉	2018-11-24T22:14:37+08:00	1053	266	1319	188	1507	4241	35.53%	24.83%	8	11
7	臺東縣長濱鄉	2018-11-24T23:22:12+08:00	1492	413	1905	351	2256	5759	39.17%	25.91%	10	11
7	臺東縣長濱鄉	2018-11-25T00:12:34+08:00	1686	496	2182	409	2591	6484	39.96%	26%	11	11
7	臺東縣長濱鄉	2018-11-24T22:43:40+08:00	1492	413	1905	351	2256	5759	39.17%	25.91%	10	11
7	臺東縣長濱鄉	2018-11-25T01:10:54+08:00	1686	496	2182	409	2591	6484	39.96%	26%	11	11
7	臺東縣長濱鄉	2018-11-25T00:16:58+08:00	1686	496	2182	409	2591	6484	39.96%	26%	11	11
