案	區	時間	同意票數	不同意票數	有效票數	無效票數	投票數	投票權人數	投票率(%)	有效同意票數對投票權人數百分比(%)	已送	應送
8	宜蘭縣冬山鄉	2018-11-24T22:14:51+08:00	10356	2967	13323	1137	14460	27101	53.36%	38.21%	25	39
8	宜蘭縣冬山鄉	2018-11-24T23:33:52+08:00	16770	4626	21396	1753	23149	43679	53%	38.39%	38	39
8	宜蘭縣冬山鄉	2018-11-24T23:10:57+08:00	15161	4193	19354	1607	20961	39278	53.37%	38.6%	35	39
8	宜蘭縣冬山鄉	2018-11-25T06:17:38+08:00	17407	4801	22208	1804	24012	45405	52.88%	38.34%	39	39
8	宜蘭縣冬山鄉	2018-11-24T22:28:42+08:00	11853	3303	15156	1277	16433	30612	53.68%	38.72%	28	39
8	宜蘭縣冬山鄉	2018-11-24T22:56:38+08:00	14662	4036	18698	1557	20255	38031	53.26%	38.55%	34	39
8	宜蘭縣冬山鄉	2018-11-24T23:07:21+08:00	15161	4193	19354	1607	20961	39278	53.37%	38.6%	35	39
8	宜蘭縣冬山鄉	2018-11-24T22:49:26+08:00	14323	3937	18260	1538	19798	37214	53.2%	38.49%	33	39
8	宜蘭縣冬山鄉	2018-11-24T22:53:17+08:00	14323	3937	18260	1538	19798	37214	53.2%	38.49%	33	39
8	宜蘭縣冬山鄉	2018-11-25T01:06:01+08:00	17407	4801	22208	1804	24012	45405	52.88%	38.34%	39	39
8	宜蘭縣冬山鄉	2018-11-24T22:32:20+08:00	12242	3410	15652	1310	16962	31591	53.69%	38.75%	29	39
8	宜蘭縣冬山鄉	2018-11-25T00:17:10+08:00	17407	4801	22208	1804	24012	45405	52.88%	38.34%	39	39
8	宜蘭縣冬山鄉	2018-11-25T00:08:06+08:00	16770	4626	21396	1753	23149	43679	53%	38.39%	38	39
8	宜蘭縣冬山鄉	2018-11-25T03:48:33+08:00	17407	4801	22208	1804	24012	45405	52.88%	38.34%	39	39
8	宜蘭縣冬山鄉	2018-11-24T23:29:48+08:00	16316	4491	20807	1709	22516	42244	53.3%	38.62%	37	39
8	宜蘭縣冬山鄉	2018-11-24T22:40:20+08:00	13740	3756	17496	1476	18972	35822	52.96%	38.36%	32	39
8	宜蘭縣冬山鄉	2018-11-25T06:22:46+08:00	17407	4801	22208	1804	24012	45405	52.88%	38.34%	39	39
8	宜蘭縣冬山鄉	2018-11-25T06:07:24+08:00	17407	4801	22208	1804	24012	45405	52.88%	38.34%	39	39
8	宜蘭縣冬山鄉	2018-11-24T23:00:18+08:00	15161	4193	19354	1607	20961	39278	53.37%	38.6%	35	39
8	宜蘭縣冬山鄉	2018-11-24T22:25:27+08:00	11853	3303	15156	1277	16433	30612	53.68%	38.72%	28	39
8	宜蘭縣冬山鄉	2018-11-25T03:42:50+08:00	17407	4801	22208	1804	24012	45405	52.88%	38.34%	39	39
8	宜蘭縣冬山鄉	2018-11-25T01:11:09+08:00	17407	4801	22208	1804	24012	45405	52.88%	38.34%	39	39
