案	區	時間	同意票數	不同意票數	有效票數	無效票數	投票數	投票權人數	投票率(%)	有效同意票數對投票權人數百分比(%)	已送	應送
15	桃園市觀音區	2018-11-25T03:56:17+08:00	8475	17670	26145	1647	27792	55149	50.39%	15.37%	41	41
15	桃園市觀音區	2018-11-24T23:16:06+08:00	8288	17280	25568	1598	27166	54037	50.27%	15.34%	40	41
15	桃園市觀音區	2018-11-25T06:29:21+08:00	8475	17670	26145	1647	27792	55149	50.39%	15.37%	41	41
15	桃園市觀音區	2018-11-25T06:19:01+08:00	8475	17670	26145	1647	27792	55149	50.39%	15.37%	41	41
15	桃園市觀音區	2018-11-24T23:43:20+08:00	8475	17670	26145	1647	27792	55149	50.39%	15.37%	41	41
15	桃園市觀音區	2018-11-25T03:49:54+08:00	8475	17670	26145	1647	27792	55149	50.39%	15.37%	41	41
15	桃園市觀音區	2018-11-24T22:45:12+08:00	6624	13899	20523	1359	21882	43262	50.58%	15.31%	32	41
15	桃園市觀音區	2018-11-24T22:30:13+08:00	5862	12362	18224	1251	19475	38598	50.46%	15.19%	29	41
15	桃園市觀音區	2018-11-25T06:24:04+08:00	8475	17670	26145	1647	27792	55149	50.39%	15.37%	41	41
15	桃園市觀音區	2018-11-25T03:32:38+08:00	8475	17670	26145	1647	27792	55149	50.39%	15.37%	41	41
15	桃園市觀音區	2018-11-25T01:25:56+08:00	8475	17670	26145	1647	27792	55149	50.39%	15.37%	41	41
15	桃園市觀音區	2018-11-25T00:23:07+08:00	8475	17670	26145	1647	27792	55149	50.39%	15.37%	41	41
15	桃園市觀音區	2018-11-24T23:51:39+08:00	8475	17670	26145	1647	27792	55149	50.39%	15.37%	41	41
15	桃園市觀音區	2018-11-24T23:27:22+08:00	8475	17670	26145	1647	27792	55149	50.39%	15.37%	41	41
15	桃園市觀音區	2018-11-24T22:13:32+08:00	4458	9367	13825	968	14793	29513	50.12%	15.11%	23	41
15	桃園市觀音區	2018-11-25T01:17:57+08:00	8475	17670	26145	1647	27792	55149	50.39%	15.37%	41	41
15	桃園市觀音區	2018-11-24T23:08:40+08:00	7787	16358	24145	1548	25693	50851	50.53%	15.31%	38	41
15	桃園市觀音區	2018-11-24T22:57:58+08:00	7434	15510	22944	1486	24430	48221	50.66%	15.42%	36	41
15	桃園市觀音區	2018-11-25T06:08:57+08:00	8475	17670	26145	1647	27792	55149	50.39%	15.37%	41	41
15	桃園市觀音區	2018-11-24T22:54:29+08:00	7434	15510	22944	1486	24430	48221	50.66%	15.42%	36	41
15	桃園市觀音區	2018-11-25T01:12:47+08:00	8475	17670	26145	1647	27792	55149	50.39%	15.37%	41	41
15	桃園市觀音區	2018-11-24T22:16:14+08:00	4703	9992	14695	1002	15697	31382	50.02%	14.99%	24	41
15	桃園市觀音區	2018-11-25T04:02:56+08:00	8475	17670	26145	1647	27792	55149	50.39%	15.37%	41	41
15	桃園市觀音區	2018-11-24T22:33:41+08:00	5862	12362	18224	1251	19475	38598	50.46%	15.19%	29	41
15	桃園市觀音區	2018-11-24T23:05:08+08:00	7613	15965	23578	1518	25096	49500	50.7%	15.38%	37	41
15	桃園市觀音區	2018-11-24T23:47:32+08:00	8475	17670	26145	1647	27792	55149	50.39%	15.37%	41	41
15	桃園市觀音區	2018-11-24T22:41:39+08:00	6373	13416	19789	1329	21118	41745	50.59%	15.27%	31	41
15	桃園市觀音區	2018-11-25T00:05:09+08:00	8475	17670	26145	1647	27792	55149	50.39%	15.37%	41	41
15	桃園市觀音區	2018-11-24T22:37:04+08:00	6373	13416	19789	1329	21118	41745	50.59%	15.27%	31	41
15	桃園市觀音區	2018-11-24T22:50:52+08:00	6876	14368	21244	1410	22654	44723	50.65%	15.37%	33	41
15	桃園市觀音區	2018-11-25T06:13:56+08:00	8475	17670	26145	1647	27792	55149	50.39%	15.37%	41	41
15	桃園市觀音區	2018-11-24T22:26:40+08:00	5862	12362	18224	1251	19475	38598	50.46%	15.19%	29	41
