案	區	時間	同意票數	不同意票數	有效票數	無效票數	投票數	投票權人數	投票率(%)	有效同意票數對投票權人數百分比(%)	已送	應送
16	臺南市佳里區	2018-11-25T01:07:44+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-25T00:05:22+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-25T03:39:11+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-24T22:16:30+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-24T23:20:12+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-25T00:18:53+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-24T22:33:54+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-24T23:31:32+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-24T23:39:38+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-24T22:45:24+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-24T23:23:54+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-25T01:02:48+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-25T00:23:22+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-25T06:14:09+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-24T22:51:08+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-24T23:51:52+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-25T06:09:15+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-25T00:00:28+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-24T22:40:44+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-25T06:24:17+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-25T01:13:03+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-25T06:19:14+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-25T03:56:33+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-24T22:58:13+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-24T22:41:55+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-25T03:50:08+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-25T00:09:56+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
16	臺南市佳里區	2018-11-25T00:14:28+08:00	13974	9415	23389	2567	25956	50407	51.49%	27.72%	41	41
