案	區	時間	同意票數	不同意票數	有效票數	無效票數	投票數	投票權人數	投票率(%)	有效同意票數對投票權人數百分比(%)	已送	應送
10	高雄市三民區	2018-11-24T23:34:13+08:00	90617	35182	125799	3793	129592	213325	60.75%	42.48%	147	189
10	高雄市三民區	2018-11-25T00:04:03+08:00	102759	40205	142964	4271	147235	242874	60.62%	42.31%	164	189
10	高雄市三民區	2018-11-24T22:15:12+08:00	47329	17596	64925	2078	67003	109448	61.22%	43.24%	83	189
10	高雄市三民區	2018-11-24T23:30:12+08:00	86300	33452	119752	3679	123431	202868	60.84%	42.54%	141	189
10	高雄市三民區	2018-11-24T23:00:35+08:00	75026	28899	103925	3151	107076	175874	60.88%	42.66%	124	189
10	高雄市三民區	2018-11-24T22:53:34+08:00	70245	26866	97111	2999	100110	165020	60.67%	42.57%	117	189
10	高雄市三民區	2018-11-24T23:46:25+08:00	97806	38321	136127	4066	140193	231299	60.61%	42.29%	157	189
10	高雄市三民區	2018-11-24T23:42:22+08:00	94088	36672	130760	3951	134711	222025	60.67%	42.38%	152	189
10	高雄市三民區	2018-11-25T06:12:59+08:00	121735	48041	169776	4983	174759	289519	60.36%	42.05%	189	189
10	高雄市三民區	2018-11-25T06:07:48+08:00	121735	48041	169776	4983	174759	289519	60.36%	42.05%	189	189
10	高雄市三民區	2018-11-25T03:43:13+08:00	121735	48041	169776	4983	174759	289519	60.36%	42.05%	189	189
10	高雄市三民區	2018-11-25T00:22:05+08:00	108665	42697	151362	4466	155828	257501	60.52%	42.2%	172	189
10	高雄市三民區	2018-11-24T22:18:41+08:00	52773	19806	72579	2270	74849	123630	60.54%	42.69%	91	189
10	高雄市三民區	2018-11-24T22:12:24+08:00	43298	16049	59347	1883	61230	99650	61.45%	43.45%	77	189
10	高雄市三民區	2018-11-24T23:18:48+08:00	79164	30606	109770	3344	113114	185679	60.92%	42.63%	130	189
10	高雄市三民區	2018-11-25T03:37:57+08:00	121735	48041	169776	4983	174759	289519	60.36%	42.05%	189	189
10	高雄市三民區	2018-11-25T01:16:47+08:00	120260	47427	167687	4908	172595	285904	60.37%	42.06%	187	189
10	高雄市三民區	2018-11-25T06:23:04+08:00	121735	48041	169776	4983	174759	289519	60.36%	42.05%	189	189
10	高雄市三民區	2018-11-25T03:31:29+08:00	121735	48041	169776	4983	174759	289519	60.36%	42.05%	189	189
10	高雄市三民區	2018-11-25T00:56:34+08:00	119478	47157	166635	4879	171514	283980	60.4%	42.07%	186	189
10	高雄市三民區	2018-11-25T01:01:29+08:00	119478	47157	166635	4879	171514	283980	60.4%	42.07%	186	189
10	高雄市三民區	2018-11-24T23:50:36+08:00	99281	38922	138203	4133	142336	234741	60.64%	42.29%	159	189
10	高雄市三民區	2018-11-24T22:32:40+08:00	56877	21561	78438	2452	80890	133559	60.56%	42.59%	97	189
10	高雄市三民區	2018-11-25T03:55:06+08:00	121735	48041	169776	4983	174759	289519	60.36%	42.05%	189	189
10	高雄市三民區	2018-11-24T23:11:17+08:00	77884	30076	107960	3285	111245	182406	60.99%	42.7%	128	189
10	高雄市三民區	2018-11-24T22:40:39+08:00	63174	23951	87125	2718	89843	148356	60.56%	42.58%	107	189
10	高雄市三民區	2018-11-24T23:04:06+08:00	75722	29182	104904	3183	108087	177528	60.88%	42.65%	125	189
10	高雄市三民區	2018-11-24T22:29:02+08:00	56212	21278	77490	2421	79911	131986	60.55%	42.59%	96	189
10	高雄市三民區	2018-11-25T01:11:33+08:00	120260	47427	167687	4908	172595	285904	60.37%	42.06%	187	189
10	高雄市三民區	2018-11-25T06:28:17+08:00	121735	48041	169776	4983	174759	289519	60.36%	42.05%	189	189
10	高雄市三民區	2018-11-24T23:59:06+08:00	102105	39990	142095	4250	146345	241447	60.61%	42.29%	163	189
10	高雄市三民區	2018-11-24T22:44:13+08:00	65251	24833	90084	2816	92900	153534	60.51%	42.5%	110	189
10	高雄市三民區	2018-11-25T01:06:26+08:00	120260	47427	167687	4908	172595	285904	60.37%	42.06%	187	189
10	高雄市三民區	2018-11-24T23:15:03+08:00	78462	30301	108763	3322	112085	183879	60.96%	42.67%	129	189
