案	區	時間	同意票數	不同意票數	有效票數	無效票數	投票數	投票權人數	投票率(%)	有效同意票數對投票權人數百分比(%)	已送	應送
14	基隆市安樂區	2018-11-24T22:33:39+08:00	4844	9055	13899	700	14599	27794	52.53%	17.43%	23	49
14	基隆市安樂區	2018-11-25T06:29:19+08:00	12394	22700	35094	1570	36664	70396	52.08%	17.61%	49	49
14	基隆市安樂區	2018-11-25T01:07:28+08:00	12156	22247	34403	1536	35939	68996	52.09%	17.62%	48	49
14	基隆市安樂區	2018-11-25T03:49:53+08:00	12394	22700	35094	1570	36664	70396	52.08%	17.61%	49	49
14	基隆市安樂區	2018-11-24T22:50:50+08:00	5833	11057	16890	831	17721	33386	53.08%	17.47%	27	49
14	基隆市安樂區	2018-11-25T06:13:54+08:00	12394	22700	35094	1570	36664	70396	52.08%	17.61%	49	49
14	基隆市安樂區	2018-11-24T23:43:19+08:00	9303	18072	27375	1200	28575	55379	51.6%	16.8%	40	49
14	基隆市安樂區	2018-11-24T22:13:29+08:00	3986	7438	11424	586	12010	22830	52.61%	17.46%	20	49
14	基隆市安樂區	2018-11-25T03:32:36+08:00	12394	22700	35094	1570	36664	70396	52.08%	17.61%	49	49
14	基隆市安樂區	2018-11-25T03:44:25+08:00	12394	22700	35094	1570	36664	70396	52.08%	17.61%	49	49
14	基隆市安樂區	2018-11-24T23:08:38+08:00	6773	12867	19640	944	20584	39337	52.33%	17.22%	31	49
14	基隆市安樂區	2018-11-24T23:55:49+08:00	10043	19641	29684	1365	31049	59885	51.85%	16.77%	43	49
14	基隆市安樂區	2018-11-25T06:24:02+08:00	12394	22700	35094	1570	36664	70396	52.08%	17.61%	49	49
14	基隆市安樂區	2018-11-24T23:51:37+08:00	10043	19641	29684	1365	31049	59885	51.85%	16.77%	43	49
14	基隆市安樂區	2018-11-24T22:23:15+08:00	4573	8586	13159	676	13835	26395	52.42%	17.33%	22	49
14	基隆市安樂區	2018-11-24T22:40:29+08:00	4844	9055	13899	700	14599	27794	52.53%	17.43%	23	49
14	基隆市安樂區	2018-11-25T06:18:59+08:00	12394	22700	35094	1570	36664	70396	52.08%	17.61%	49	49
14	基隆市安樂區	2018-11-24T23:23:40+08:00	7943	15106	23049	1050	24099	46237	52.12%	17.18%	35	49
14	基隆市安樂區	2018-11-24T22:54:27+08:00	5833	11057	16890	831	17721	33386	53.08%	17.47%	27	49
14	基隆市安樂區	2018-11-25T00:14:11+08:00	10637	20723	31360	1425	32785	63094	51.96%	16.86%	45	49
14	基隆市安樂區	2018-11-24T22:16:12+08:00	4573	8586	13159	676	13835	26395	52.42%	17.33%	22	49
14	基隆市安樂區	2018-11-24T22:41:37+08:00	4844	9055	13899	700	14599	27794	52.53%	17.43%	23	49
14	基隆市安樂區	2018-11-25T00:05:07+08:00	10043	19641	29684	1365	31049	59885	51.85%	16.77%	43	49
14	基隆市安樂區	2018-11-24T23:05:06+08:00	6547	12441	18988	921	19909	37780	52.7%	17.33%	30	49
14	基隆市安樂區	2018-11-24T22:45:10+08:00	5033	9495	14528	711	15239	28934	52.67%	17.39%	24	49
14	基隆市安樂區	2018-11-25T03:56:14+08:00	12394	22700	35094	1570	36664	70396	52.08%	17.61%	49	49
14	基隆市安樂區	2018-11-24T22:37:02+08:00	4844	9055	13899	700	14599	27794	52.53%	17.43%	23	49
14	基隆市安樂區	2018-11-25T00:18:32+08:00	10984	21349	32333	1467	33800	64996	52%	16.9%	46	49
14	基隆市安樂區	2018-11-24T23:16:04+08:00	7651	14519	22170	1012	23182	44336	52.29%	17.26%	34	49
14	基隆市安樂區	2018-11-25T00:23:05+08:00	11497	21911	33408	1480	34888	67036	52.04%	17.15%	47	49
14	基隆市安樂區	2018-11-25T01:25:54+08:00	12394	22700	35094	1570	36664	70396	52.08%	17.61%	49	49
14	基隆市安樂區	2018-11-24T22:30:11+08:00	4844	9055	13899	700	14599	27794	52.53%	17.43%	23	49
14	基隆市安樂區	2018-11-25T03:38:56+08:00	12394	22700	35094	1570	36664	70396	52.08%	17.61%	49	49
14	基隆市安樂區	2018-11-25T01:02:33+08:00	12156	22247	34403	1536	35939	68996	52.09%	17.62%	48	49
14	基隆市安樂區	2018-11-24T22:19:38+08:00	4573	8586	13159	676	13835	26395	52.42%	17.33%	22	49
14	基隆市安樂區	2018-11-24T23:19:53+08:00	7651	14519	22170	1012	23182	44336	52.29%	17.26%	34	49
14	基隆市安樂區	2018-11-25T01:17:54+08:00	12394	22700	35094	1570	36664	70396	52.08%	17.61%	49	49
14	基隆市安樂區	2018-11-25T00:00:12+08:00	10043	19641	29684	1365	31049	59885	51.85%	16.77%	43	49
14	基隆市安樂區	2018-11-24T22:57:55+08:00	6104	11590	17694	846	18540	35059	52.88%	17.41%	28	49
14	基隆市安樂區	2018-11-24T23:27:20+08:00	7943	15106	23049	1050	24099	46237	52.12%	17.18%	35	49
14	基隆市安樂區	2018-11-25T00:57:38+08:00	12156	22247	34403	1536	35939	68996	52.09%	17.62%	48	49
14	基隆市安樂區	2018-11-24T23:35:12+08:00	8604	16636	25240	1127	26367	50712	51.99%	16.97%	37	49
14	基隆市安樂區	2018-11-24T23:47:30+08:00	9624	18791	28415	1257	29672	57496	51.61%	16.74%	41	49
14	基隆市安樂區	2018-11-25T00:09:36+08:00	10637	20723	31360	1425	32785	63094	51.96%	16.86%	45	49
14	基隆市安樂區	2018-11-24T23:01:33+08:00	6104	11590	17694	846	18540	35059	52.88%	17.41%	28	49
14	基隆市安樂區	2018-11-24T23:31:13+08:00	8303	16002	24305	1084	25389	48750	52.08%	17.03%	36	49
14	基隆市安樂區	2018-11-25T04:02:54+08:00	12394	22700	35094	1570	36664	70396	52.08%	17.61%	49	49
14	基隆市安樂區	2018-11-25T01:12:45+08:00	12156	22247	34403	1536	35939	68996	52.09%	17.62%	48	49
14	基隆市安樂區	2018-11-24T22:26:38+08:00	4573	8586	13159	676	13835	26395	52.42%	17.33%	22	49
14	基隆市安樂區	2018-11-24T23:12:17+08:00	6773	12867	19640	944	20584	39337	52.33%	17.22%	31	49
14	基隆市安樂區	2018-11-24T23:39:18+08:00	8765	17039	25804	1153	26957	51925	51.92%	16.88%	38	49
