案	區	時間	同意票數	不同意票數	有效票數	無效票數	投票數	投票權人數	投票率(%)	有效同意票數對投票權人數百分比(%)	已送	應送
9	屏東縣瑪家鄉	2018-11-24T23:14:56+08:00	1954	673	2627	223	2850	4606	61.88%	42.42%	7	8
9	屏東縣瑪家鄉	2018-11-25T01:16:38+08:00	2264	780	3044	235	3279	5663	57.9%	39.98%	8	8
9	屏東縣瑪家鄉	2018-11-25T06:17:52+08:00	2264	780	3044	235	3279	5663	57.9%	39.98%	8	8
9	屏東縣瑪家鄉	2018-11-24T23:26:20+08:00	1954	673	2627	223	2850	4606	61.88%	42.42%	7	8
9	屏東縣瑪家鄉	2018-11-24T22:40:32+08:00	1954	673	2627	223	2850	4606	61.88%	42.42%	7	8
9	屏東縣瑪家鄉	2018-11-25T00:21:58+08:00	2264	780	3044	235	3279	5663	57.9%	39.98%	8	8
9	屏東縣瑪家鄉	2018-11-24T22:53:28+08:00	1954	673	2627	223	2850	4606	61.88%	42.42%	7	8
9	屏東縣瑪家鄉	2018-11-25T01:11:25+08:00	2264	780	3044	235	3279	5663	57.9%	39.98%	8	8
9	屏東縣瑪家鄉	2018-11-24T22:44:05+08:00	1954	673	2627	223	2850	4606	61.88%	42.42%	7	8
9	屏東縣瑪家鄉	2018-11-24T23:11:09+08:00	1954	673	2627	223	2850	4606	61.88%	42.42%	7	8
9	屏東縣瑪家鄉	2018-11-24T23:38:02+08:00	1954	673	2627	223	2850	4606	61.88%	42.42%	7	8
9	屏東縣瑪家鄉	2018-11-25T04:01:44+08:00	2264	780	3044	235	3279	5663	57.9%	39.98%	8	8
9	屏東縣瑪家鄉	2018-11-25T06:07:40+08:00	2264	780	3044	235	3279	5663	57.9%	39.98%	8	8
9	屏東縣瑪家鄉	2018-11-24T23:00:29+08:00	1954	673	2627	223	2850	4606	61.88%	42.42%	7	8
9	屏東縣瑪家鄉	2018-11-24T22:32:32+08:00	1954	673	2627	223	2850	4606	61.88%	42.42%	7	8
9	屏東縣瑪家鄉	2018-11-24T22:22:03+08:00	1954	673	2627	223	2850	4606	61.88%	42.42%	7	8
9	屏東縣瑪家鄉	2018-11-24T23:07:32+08:00	1954	673	2627	223	2850	4606	61.88%	42.42%	7	8
9	屏東縣瑪家鄉	2018-11-24T23:18:41+08:00	1954	673	2627	223	2850	4606	61.88%	42.42%	7	8
9	屏東縣瑪家鄉	2018-11-24T23:54:44+08:00	1954	673	2627	223	2850	4606	61.88%	42.42%	7	8
9	屏東縣瑪家鄉	2018-11-24T23:50:29+08:00	1954	673	2627	223	2850	4606	61.88%	42.42%	7	8
9	屏東縣瑪家鄉	2018-11-24T22:39:23+08:00	1954	673	2627	223	2850	4606	61.88%	42.42%	7	8
9	屏東縣瑪家鄉	2018-11-24T23:03:59+08:00	1954	673	2627	223	2850	4606	61.88%	42.42%	7	8
