案	區	時間	同意票數	不同意票數	有效票數	無效票數	投票數	投票權人數	投票率(%)	有效同意票數對投票權人數百分比(%)	已送	應送
13	屏東縣泰武鄉	2018-11-24T22:41:23+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-25T03:49:39+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-25T00:09:18+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T22:50:32+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T23:12:01+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T22:44:56+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T23:27:06+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T23:15:49+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-25T03:55:56+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-25T06:18:45+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T23:04:51+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T23:19:35+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T23:38:58+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-25T03:44:06+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T23:43:04+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-25T06:13:40+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T22:22:57+08:00	674	1451	2125	194	2319	3746	61.91%	17.99%	6	7
13	屏東縣泰武鄉	2018-11-25T06:29:02+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-25T04:02:35+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-25T00:22:50+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T22:33:24+08:00	674	1451	2125	194	2319	3746	61.91%	17.99%	6	7
13	屏東縣泰武鄉	2018-11-25T06:23:47+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-25T01:07:13+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T22:26:25+08:00	674	1451	2125	194	2319	3746	61.91%	17.99%	6	7
13	屏東縣泰武鄉	2018-11-24T23:01:17+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T23:47:14+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-25T00:04:52+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T22:29:50+08:00	674	1451	2125	194	2319	3746	61.91%	17.99%	6	7
13	屏東縣泰武鄉	2018-11-24T22:36:48+08:00	674	1451	2125	194	2319	3746	61.91%	17.99%	6	7
13	屏東縣泰武鄉	2018-11-24T22:13:12+08:00	674	1451	2125	194	2319	3746	61.91%	17.99%	6	7
13	屏東縣泰武鄉	2018-11-25T01:25:39+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T23:51:20+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T22:19:25+08:00	674	1451	2125	194	2319	3746	61.91%	17.99%	6	7
13	屏東縣泰武鄉	2018-11-25T00:57:23+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T22:40:15+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-25T03:38:42+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-25T00:13:55+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T22:15:56+08:00	674	1451	2125	194	2319	3746	61.91%	17.99%	6	7
13	屏東縣泰武鄉	2018-11-25T01:02:16+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T23:08:21+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-25T01:17:36+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T23:55:33+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T23:59:54+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T23:30:57+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T23:34:58+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-25T03:32:21+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T23:23:26+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T22:57:39+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-25T00:18:17+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-25T01:12:27+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-25T06:08:37+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	屏東縣泰武鄉	2018-11-24T22:54:14+08:00	821	1705	2526	243	2769	4344	63.74%	18.9%	7	7
13	臺東縣關山鎮	2018-11-24T22:41:24+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-24T22:50:34+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-24T22:26:26+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-25T00:09:20+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-24T23:39:00+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-24T23:51:22+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-25T03:55:58+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-24T23:27:07+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-24T22:19:26+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-24T22:44:57+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-24T22:29:52+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-24T23:08:22+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-25T00:13:56+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-24T22:36:50+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-24T22:40:16+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-24T23:59:56+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-25T03:32:22+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-25T03:44:08+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-25T03:49:40+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-25T00:22:51+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-25T06:13:41+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-24T22:22:58+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-24T23:43:05+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-25T06:29:03+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-25T01:07:14+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-24T23:12:02+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-25T06:23:48+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-24T23:01:18+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
13	臺東縣關山鎮	2018-11-24T23:47:15+08:00	1337	2230	3567	191	3758	7509	50.05%	17.81%	9	9
