案	區	時間	同意票數	不同意票數	有效票數	無效票數	投票數	投票權人數	投票率(%)	有效同意票數對投票權人數百分比(%)	已送	應送
11	臺東縣太麻里鄉	2018-11-24T22:22:29+08:00	3792	1252	5044	314	5358	9666	55.43%	39.23%	15	15
11	臺東縣太麻里鄉	2018-11-25T03:43:37+08:00	3792	1252	5044	314	5358	9666	55.43%	39.23%	15	15
11	臺東縣太麻里鄉	2018-11-25T00:56:55+08:00	3792	1252	5044	314	5358	9666	55.43%	39.23%	15	15
11	臺東縣太麻里鄉	2018-11-25T00:22:26+08:00	3792	1252	5044	314	5358	9666	55.43%	39.23%	15	15
11	臺東縣太麻里鄉	2018-11-24T23:26:44+08:00	3792	1252	5044	314	5358	9666	55.43%	39.23%	15	15
11	臺東縣太麻里鄉	2018-11-24T22:33:00+08:00	3792	1252	5044	314	5358	9666	55.43%	39.23%	15	15
11	臺東縣太麻里鄉	2018-11-25T06:18:21+08:00	3792	1252	5044	314	5358	9666	55.43%	39.23%	15	15
11	臺東縣太麻里鄉	2018-11-25T06:28:37+08:00	3792	1252	5044	314	5358	9666	55.43%	39.23%	15	15
11	臺東縣太麻里鄉	2018-11-24T22:44:34+08:00	3792	1252	5044	314	5358	9666	55.43%	39.23%	15	15
11	臺東縣太麻里鄉	2018-11-25T00:13:26+08:00	3792	1252	5044	314	5358	9666	55.43%	39.23%	15	15
11	臺東縣太麻里鄉	2018-11-24T22:36:27+08:00	3792	1252	5044	314	5358	9666	55.43%	39.23%	15	15
11	臺東縣太麻里鄉	2018-11-24T23:15:23+08:00	3792	1252	5044	314	5358	9666	55.43%	39.23%	15	15
11	臺東縣太麻里鄉	2018-11-24T23:59:29+08:00	3792	1252	5044	314	5358	9666	55.43%	39.23%	15	15
11	臺東縣太麻里鄉	2018-11-24T23:38:27+08:00	3792	1252	5044	314	5358	9666	55.43%	39.23%	15	15
11	臺東縣太麻里鄉	2018-11-25T00:17:50+08:00	3792	1252	5044	314	5358	9666	55.43%	39.23%	15	15
11	臺東縣太麻里鄉	2018-11-24T23:46:47+08:00	3792	1252	5044	314	5358	9666	55.43%	39.23%	15	15
11	臺東縣太麻里鄉	2018-11-25T03:55:28+08:00	3792	1252	5044	314	5358	9666	55.43%	39.23%	15	15
11	臺東縣太麻里鄉	2018-11-25T00:04:28+08:00	3792	1252	5044	314	5358	9666	55.43%	39.23%	15	15
11	臺東縣太麻里鄉	2018-11-24T23:42:41+08:00	3792	1252	5044	314	5358	9666	55.43%	39.23%	15	15
11	臺東縣太麻里鄉	2018-11-24T22:15:31+08:00	3523	1165	4688	290	4978	8929	55.75%	39.46%	14	15
