案	區	時間	同意票數	不同意票數	有效票數	無效票數	投票數	投票權人數	投票率(%)	有效同意票數對投票權人數百分比(%)	已送	應送
12	金門縣金沙鎮	2018-11-24T22:54:04+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-24T22:41:13+08:00	3859	1781	5640	309	5949	17036	34.92%	22.65%	12	13
12	金門縣金沙鎮	2018-11-25T03:43:54+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-24T22:26:16+08:00	3429	1604	5033	256	5289	15033	35.18%	22.81%	11	13
12	金門縣金沙鎮	2018-11-24T22:22:44+08:00	3429	1604	5033	256	5289	15033	35.18%	22.81%	11	13
12	金門縣金沙鎮	2018-11-24T23:59:44+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-24T23:42:53+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-24T23:55:23+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-24T22:40:03+08:00	3859	1781	5640	309	5949	17036	34.92%	22.65%	12	13
12	金門縣金沙鎮	2018-11-24T22:29:36+08:00	3429	1604	5033	256	5289	15033	35.18%	22.81%	11	13
12	金門縣金沙鎮	2018-11-24T22:57:27+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-25T03:32:09+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-25T03:38:31+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-24T23:38:45+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-24T23:30:46+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-25T00:13:42+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-25T00:57:11+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-24T23:11:49+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-25T01:02:06+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-24T23:08:09+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-24T23:34:49+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-25T03:55:43+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-25T01:25:27+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-24T23:51:09+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-25T06:18:35+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-24T23:15:38+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-24T23:26:56+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-25T01:07:02+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-24T23:47:02+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-25T01:12:13+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-24T22:33:14+08:00	3429	1604	5033	256	5289	15033	35.18%	22.81%	11	13
12	金門縣金沙鎮	2018-11-25T04:02:25+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-25T00:22:40+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-25T06:08:24+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-25T00:18:03+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-25T01:17:23+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-25T06:28:51+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-24T23:19:23+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-24T22:19:15+08:00	3429	1604	5033	256	5289	15033	35.18%	22.81%	11	13
12	金門縣金沙鎮	2018-11-24T22:15:45+08:00	3429	1604	5033	256	5289	15033	35.18%	22.81%	11	13
12	金門縣金沙鎮	2018-11-24T22:13:00+08:00	3429	1604	5033	256	5289	15033	35.18%	22.81%	11	13
12	金門縣金沙鎮	2018-11-24T22:44:47+08:00	3859	1781	5640	309	5949	17036	34.92%	22.65%	12	13
12	金門縣金沙鎮	2018-11-24T23:23:16+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-24T23:04:41+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-24T22:36:39+08:00	3429	1604	5033	256	5289	15033	35.18%	22.81%	11	13
12	金門縣金沙鎮	2018-11-25T00:04:41+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-24T22:50:22+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-25T06:23:37+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-24T23:01:05+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-25T00:09:07+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-25T06:13:29+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	金門縣金沙鎮	2018-11-25T03:49:29+08:00	4266	1966	6232	342	6574	18560	35.42%	22.98%	13	13
12	嘉義縣梅山鄉	2018-11-25T06:08:20+08:00	5569	3298	8867	660	9527	17083	55.77%	32.6%	22	22
12	嘉義縣梅山鄉	2018-11-25T00:18:00+08:00	5569	3298	8867	660	9527	17083	55.77%	32.6%	22	22
12	嘉義縣梅山鄉	2018-11-25T01:17:20+08:00	5569	3298	8867	660	9527	17083	55.77%	32.6%	22	22
12	嘉義縣梅山鄉	2018-11-24T23:19:20+08:00	5569	3298	8867	660	9527	17083	55.77%	32.6%	22	22
